Residential,Commercial,Industrial,Total,dates
3078100,2016100,2425400,7770200,1990-01-01
2660700,2032600,2664500,7620100,1990-02-01
2319400,1870300,2478800,6905400,1990-03-01
2173000,1882700,2541300,6835700,1990-04-01
2028400,1901300,2540600,6714600,1990-05-01
2463300,2153600,2689200,7568100,1990-06-01
2933400,2288600,,8115800,1990-07-01
2856900,2294200,2711100,8132700,1990-08-01
2874700,2309900,2720400,8172700,1990-09-01
2245000,2035400,2643800,7171200,1990-10-01
2214300,1955000,2588900,6996400,1990-11-01
2531102,1951400,2477900,7190400,1990-12-01
3027600,2043700,2460100,7780900,1991-01-01
2837300,2092700,2638100,7827500,1991-02-01
2382700,1876400,2415200,6909300,1991-03-01
2196300,1905400,2529600,6878000,1991-04-01
2169900,1982300,2594100,7009600,1991-05-01
,2267200,2690900,7932600,1991-06-01
3050600,2318800,2637900,8287000,1991-07-01
2998900,2334800,2713900,8331000,1991-08-01
2817900,2317500,2738000,8149700,1991-09-01
2234100,2047000,2626000,7149200,1991-10-01
2363500,2005000,2611800,7223900,1991-11-01
2642600,1984600,2475700,7349200,1991-12-01
2950700,2006700,2495300,7700100,1992-01-01
2833300,2056800,2651500,7798600,1992-02-01
2379200,1915300,2558400,,1992-03-01
2281700,1929200,2607200,7064700,1992-04-01
2089800,1947700,2606400,6893100,1992-05-01
2363600,2167500,2783200,7576700,1992-06-01
2863400,2297100,2736300,8166300,1992-07-01
2855024,2278100,2764600,8165100,1992-08-01
2653100,2274600,2795900,8003300,1992-09-01
2256800,2059136,2687500,7252700,1992-10-01
2335400,1999200,2703200,7284800,1992-11-01
2823200,2028300,2510600,7609600,1992-12-01
3025600,2076600,2493700,7848500,1993-01-01
2979500,2177900,2732300,8162700,1993-02-01
2679200,2016200,2562500,7504100,1993-03-01
2323400,1993900,2630500,7195100,1993-04-01
2060700,1994100,2630000,6923700,1993-05-01
2552700,2282800,2809000,7911300,1993-06-01
3259400,2453300,2735700,8715100,1993-07-01
3296500,2482000,2781400,8833000,1993-08-01
2963500,2401300,2775200,8420800,1993-09-01
2315700,2115900,2671700,7367200,1993-10-01
2424200,2045000,,7429500,1993-11-01
2828800,2084700,2612500,7782900,1993-12-01
3349200,2172100,2596900,8384200,1994-01-01
3203000,2259900,2784400,8531000,1994-02-01
2576900,2038700,2603100,7472700,1994-03-01
2316400,2072700,2692300,7334400,1994-04-01
2166300,2052700,2697600,7160900,1994-05-01
2803200,2444100,2895300,8424000,1994-06-01
3342500,2540100,2801300,8966400,1994-07-01
3121000,2505600,2895200,8801300,1994-08-01
2845000,2449200,2919900,8495000,1994-09-01
,2179200,2784934,7542200,1994-10-01
2369100,2123600,2796600,7554100,1994-11-01
2769900,2134287,2682000,7848700,1994-12-01
3114600,2225300,2639600,8234800,1995-01-01
3095700,2338400,2831600,8538600,1995-02-01
2563400,2140400,2675200,7626100,1995-03-01
2286100,2134000,2731500,7396600,1995-04-01
2261400,2159300,2746700,7407200,1995-05-01
2807600,2502800,2920600,8498300,1995-06-01
3355600,2665600,2794300,9084300,1995-07-01
3706100,2748500,2907900,9640000,1995-08-01
3130300,2576700,2868700,8865000,1995-09-01
2411300,2335700,2771300,7778700,1995-10-01
2564200,2270500,2757500,7853600,1995-11-01
2980400,,2660500,8158000,1995-12-01
3503600,2337900,2675100,8780200,1996-01-01
3314400,2397000,2845200,8831200,1996-02-01
2807600,2236600,2737600,8033200,1996-03-01
2487200,2198900,2738700,7678200,1996-04-01
2404700,2277600,2794800,,1996-05-01
3031800,2609900,2950800,8866500,1996-06-01
3423500,2672200,2858900,9225400,1996-07-01
3405200,2739100,2929500,9351400,1996-08-01
3053300,2635600,2946100,8930700,1996-09-01
2431800,2358300,2858300,7910200,1996-10-01
2608100,2318400,2838000,8027300,1996-11-01
,2315297,2723700,8322100,1996-12-01
3424700,2472000,2709000,8882200,1997-01-01
3223700,2522200,2919800,8959500,1997-02-01
2626700,2286800,2685400,7854700,1997-03-01
2424900,2324700,2811900,7826900,1997-04-01
2283200,2302000,2792900,7636900,1997-05-01
2785600,2666500,2978700,8717400,1997-06-01
3527200,2877900,2860000,9559700,1997-07-01
,2797100,2948900,9487700,1997-08-01
3159100,2813800,3007100,9289050,1997-09-01
2712100,2595700,2871600,8474600,1997-10-01
2666800,2430400,2844114,8226700,1997-11-01
,2440900,2718700,8521600,1997-12-01
3308000,2481883,2674000,8741100,1998-01-01
3091200,2570600,2962000,8898200,1998-02-01
2773000,2403800,2738500,8180500,1998-03-01
2471500,2425800,,7980600,1998-04-01
2499400,,2894400,8177600,1998-05-01
3283000,2891700,3005100,9472500,1998-06-01
3920600,3038000,2874400,10120000,1998-07-01
3881600,3083200,3021500,10289000,1998-08-01
3555800,3037000,2992300,9909400,1998-09-01
2800100,2660300,2848300,8592600,1998-10-01
2565100,2549600,2918400,8327300,1998-11-01
2988000,2536800,2825200,8621900,1998-12-01
3587100,2598900,2692800,9156000,1999-01-01
3095129,2668800,2913500,8975100,1999-02-01
2884600,2483200,2769800,8413100,1999-03-01
2575400,2517900,2859400,8227300,1999-04-01
2488800,2547800,2893400,8209500,1999-05-01
3198000,2952200,3033100,9484500,1999-06-01
3972500,3171200,2989700,10454000,1999-07-01
4001000,3120100,2992400,10419000,1999-08-01
3470500,3013800,3022300,9828400,1999-09-01
2664500,2698400,2898300,8558700,1999-10-01
2608800,2562400,2951100,8415400,1999-11-01
3068600,2602400,2784900,8728700,1999-12-01
3535800,2693300,2776200,9292100,2000-01-01
3398700,2768200,2920200,9384400,2000-02-01
2729800,2603500,2853900,8460700,2000-03-01
2539900,2606200,2882400,8299200,2000-04-01
2688300,2784900,2918700,8680800,2000-05-01
3466200,,3069200,9990900,2000-06-01
3853700,3181200,2897600,10246000,2000-07-01
3990300,3308800,3039800,10668000,2000-08-01
3617700,3150300,3018700,10124000,2000-09-01
2800400,2817500,2883200,8799400,2000-10-01
2816100,2767500,2923500,8803600,2000-11-01
3649700,2769100,2718900,9425300,2000-12-01
4098900,2929800,2692800,10026000,2001-01-01
3567100,2909500,2937400,9726200,2001-02-01
2993700,2711800,2694200,8687000,2001-03-01
2748500,,2741800,8479700,2001-04-01
2636500,2821637,2777300,8532000,2001-05-01
3313600,3188600,2842300,9666900,2001-06-01
3893800,3295400,2683100,10187000,2001-07-01
4167900,3407200,2799900,10716000,2001-08-01
3531400,3223500,,9864200,2001-09-01
2755500,2883200,2682100,8630900,2001-10-01
2693600,2774200,2663800,8434500,2001-11-01
3102700,2756000,2518700,8664900,2001-12-01
3770700,2820300,2523900,9386000,2002-01-01
3449700,2891100,2787800,9418900,2002-02-01
3074800,2695000,2595500,8627700,2002-03-01
2846900,2787300,2691700,8598200,2002-04-01
2816700,2870100,2724500,8687800,2002-05-01
3572300,3196800,2812900,9882300,2002-06-01
4312700,3418900,2842700,10880000,2002-07-01
4333300,3413500,2847200,10907000,2002-08-01
3861100,3360300,2811500,10350000,2002-09-01
3049400,3106900,2709200,9167031,2002-10-01
2960700,2869800,2656900,8767800,2002-11-01
3524700,2872700,2563100,9240700,2002-12-01
4008800,3179300,2607400,9814900,2003-01-01
3962000,3258500,2839900,10080000,2003-02-01
3211700,2986400,2637400,8854000,2003-03-01
2781600,2989500,2768600,8557000,2003-04-01
,3090900,2729700,8670600,2003-05-01
3376200,3413600,2873700,9681700,2003-06-01
4215300,3717200,2830100,10781000,2003-07-01
4337700,3749200,2920500,11026000,2003-08-01
3795000,3549100,2856100,10220000,2003-09-01
2896200,3227000,2805900,8947700,2003-10-01
2888600,3086800,2772100,8765900,2003-11-01
,3157100,2654400,9478600,2003-12-01
4100700,3202600,2607200,9930900,2004-01-01
3878100,3230300,2747156,9877000,2004-02-01
3191800,3075200,2688000,8973600,2004-03-01
2845900,3117700,2779000,8761700,2004-04-01
2922500,3254200,2806100,,2004-05-01
3744500,3604100,2891075,10259000,2004-06-01
4171100,3725700,2854200,10771000,2004-07-01
,3692016,2885200,,2004-08-01
3744600,3653200,2867300,10286000,2004-09-01
3015000,3300800,2753100,9088300,2004-10-01
2988300,3191800,2806400,9005400,2004-11-01
3676014,3266500,2691800,9679000,2004-12-01
4041500,3228800,2652600,9970300,2005-01-01
3809500,3305400,2818386,9982600,2005-02-01
3356900,3163600,2682600,9251300,2005-03-01
2891600,3125300,2745600,8805600,2005-04-01
2818800,3198700,2768600,8822600,2005-05-01
3887600,3775300,2933600,10646000,2005-06-01
4660527,3905900,2850300,11468198,2005-07-01
4738900,3983100,2919800,11695000,2005-08-01
,3855900,2907900,11031000,2005-09-01
3312400,3475200,2768900,9600800,2005-10-01
3056200,3269500,2783100,9152800,2005-11-01
3876700,3317400,2675900,9914300,2005-12-01
3884500,3288200,2640800,9834400,2006-01-01
3732500,3418300,2864500,10037000,2006-02-01
3385700,3261800,2685900,9353900,2006-03-01
2979100,3218400,2723200,8940300,2006-04-01
3032300,3433600,2780000,9264500,2006-05-01
3960500,3859500,2887700,10728000,2006-06-01
